Model,Strategy,Rolling Window,Final Cumulative Return
PCR,TOP_MINUS_REST,512,1.0987836716705106
NN4,TOP_MINUS_REST,512,0.9126318744373366
NN5,TOP_MINUS_REST,512,0.7525002264469567
NN1,TOP_MINUS_REST,512,0.7314876370667951
RF,TOP_MINUS_REST,512,0.6554826373055077
unit2ts,TOP_MINUS_REST,512,0.6240891523548451
NN3,TOP_MINUS_REST,512,0.6112785344604643
NN2,TOP_MINUS_REST,512,0.5555262185206818
chronos_t5,TOP_MINUS_REST,512,0.544987344458568
timefm,TOP_MINUS_REST,512,0.3978075580835556
